Arrival,Quantity,Due Date,Cyclomatic Complexity,Meshedness,Node Edge Ratio,Gamma Connectivity,Edge Density,Max weight,Min weight,Total Compatible Configurations,Total Testers,Mean Tardiness,Median Tardiness
0,12,1321.0746402114555,11.0,0.5238095238095238,1.7692307692307692,0.696969696969697,0.2983432858490418,1467.8607113460616,443.8293630746084,7,30,0,0.0
92.06734611746101,10,819.9543969898094,0.0,0.0,0.8571428571428571,0.4,0.2796509088669499,818.9930949823272,414.3463236348148,6,30,83.62640757416003,77.08125351468118
181.41126895387197,9,1146.685268845382,0.0,0.0,0.8,0.4444444444444444,0.3287278529893887,1092.6834742076637,407.7733494059723,7,30,27.6565319163041,0
271.63751725841746,7,1842.6920775899448,17.0,0.68,2.066666666666667,0.7948717948717948,0.2970880818336402,1775.7981245081878,594.5335884914318,6,30,0,0
0,10,723.8267410931792,0.0,0.0,0.8,0.4444444444444444,0.38512153245522496,804.2519345479768,528.0178931859296,5,32,26961.511160357288,26993.56938512982
69.78285585477576,13,1493.019279410018,8.0,0.38095238095238093,1.5384615384615385,0.6060606060606061,0.2574487218527365,1589.1274546007999,474.4034567929215,6,32,21659.63148602879,21658.16994756725
125.42107784126463,7,618.668445028867,0.0,0.0,0.8,0.4444444444444444,0.292189580637278,561.9883055241432,367.36547492946244,5,32,26740.84813354226,26726.72921357165
217.0814790308043,18,1540.2562234296288,14.0,0.7368421052631579,2.0833333333333335,0.8333333333333334,0.37944045199669196,1494.3143247798944,425.5423592147592,5,32,15881.178381984942,15829.448054576615
287.3546643033521,12,1797.1502197209184,20.0,0.8695652173913043,2.357142857142857,0.9166666666666666,0.3721795474692402,1709.478913164335,310.75876061092924,6,32,5788.943394744644,6008.689502835137
0,15,1393.925821676766,14.0,0.7368421052631579,2.0833333333333335,0.8333333333333334,0.3887132741870568,1548.80646852974,557.8981046456514,8,27,5383.498787742191,5064.036288266081
70.6092021219584,20,743.8039565089597,4.0,0.36363636363636365,1.375,0.6111111111111112,0.41990778499957343,755.8396384435523,385.7860389630781,8,27,9624.24465687568,10003.580899980985
157.39146394519443,6,792.552205492808,0.0,0.0,0.8,0.4444444444444444,0.26735879130039186,723.222097713481,365.45188219364496,5,26,6528.946300160481,6511.128493138727
0,12,477.844583017496,0.0,0.0,0.8,0.4444444444444444,0.38255673917536764,530.9384255749956,468.5391446543558,10,31,146.45354895936617,0.0
84.86750728663182,19,505.38416821699053,0.0,0.0,0.8,0.4444444444444444,0.4503638745509887,476.67045739891324,412.3703045437957,5,31,420.9021677474992,239.2752316444948
152.8013680773193,16,1061.426233129086,0.0,0.0,0.8333333333333334,0.4166666666666667,0.31286396414095496,1026.561113177221,760.4529033480546,8,31,354.6744100398181,232.7211509153418
211.0963575882023,9,1102.4361209466233,5.0,0.38461538461538464,1.4444444444444444,0.6190476190476191,0.38317321628194095,1013.8326656858237,346.93709944024,10,31,491.9810598670529,339.3652392420556
283.8813936765207,13,1198.3545540619648,6.0,0.46153846153846156,1.5555555555555556,0.6666666666666666,0.4063706186831771,1047.6236663923291,527.7820773120394,9,31,486.52630600741463,529.8355237833034
341.69394392352945,11,1462.2202654700886,0.0,0.0,0.875,0.3888888888888889,0.2595677310909724,1282.9952399321246,351.1691026450617,5,30,75.78900501934586,0
0,13,989.1030726398583,3.0,0.2727272727272727,1.25,0.5555555555555556,0.36882259431853914,1099.003414044287,345.1015977072675,5,24,3925.368399324088,4164.871613236127
60.61925478916933,10,1115.192942452678,4.0,0.4444444444444444,1.4285714285714286,0.6666666666666666,0.49163594211330586,1178.484014602695,562.8020259485775,5,24,3079.4614516528704,3064.09054942067
153.6758591414526,5,1746.289241478268,14.0,0.6666666666666666,2.0,0.7878787878787878,0.3375322966719259,1786.6455202788452,521.1960007807904,5,24,3116.5809585450347,3110.9982142725494
223.18421548947742,7,1898.898906983906,28.0,1.12,2.8,1.0769230769230769,0.4007049322741434,1886.7034589370846,727.2350953518821,5,24,4193.213442048197,4152.42732371089
290.68538405013084,10,948.057851210384,0.0,0.0,0.8571428571428571,0.4,0.27124280169840465,762.7122284058514,470.53500828884825,5,24,4202.728341072991,4314.222483149094
387.66786315767973,19,2084.6417733635553,11.0,0.4782608695652174,1.7142857142857142,0.6666666666666666,0.26505944640783724,1928.6007739129373,563.1362040085705,5,24,3022.8194688178255,3117.447413167085
449.6543357120093,5,1484.4810699878778,10.0,0.6666666666666666,1.9,0.7916666666666666,0.4419441116931474,1199.7690753856327,472.8918787289845,5,24,3738.2788168596435,3672.2409068892503
539.4315592342903,6,1686.1923268747385,6.0,0.46153846153846156,1.5555555555555556,0.6666666666666666,0.3996249230094605,1334.1154706265302,606.6795378927201,5,24,3454.3620125914617,3440.543411627801
636.2837209774302,16,1955.4852956504596,9.0,0.6923076923076923,1.8888888888888888,0.8095238095238095,0.49624402221627006,1536.4777186341917,478.08579413696566,5,24,2662.827739879159,2680.6056452809808
727.5322504296483,17,2336.061349647605,18.0,0.782608695652174,2.2142857142857144,0.8611111111111112,0.3503341174426692,1868.0914714010235,583.0225343368118,5,24,3990.7639934162867,4030.600075952911
0,17,1507.156761495222,16.0,0.7619047619047619,2.1538461538461537,0.8484848484848485,0.3627979431405476,1674.61862388358,427.84153548103995,2,17,10008.340858635276,9928.398563641676
85.59334885615692,7,1349.2731424067142,15.0,0.8823529411764706,2.272727272727273,0.9259259259259259,0.46617954448764415,1413.5990315957476,424.91424070025147,2,17,9087.967381262948,9097.024388545633
178.34647070987413,10,2540.9781620969925,18.0,0.72,2.1333333333333333,0.8205128205128205,0.30952563619335693,2644.962598286784,502.27253339245675,2,17,10827.839010695569,11106.14769774084
265.7570157988206,9,1930.07024398299,13.0,0.7647058823529411,2.090909090909091,0.8518518518518519,0.42893580765740424,1878.7654775156127,488.5081638175486,2,17,11165.053445408124,11481.600495235301
347.2078840558538,17,2234.6131890713145,21.0,1.0,2.5384615384615383,1.0,0.4332666683109345,2135.695659356718,403.85101743147624,2,17,10202.182755501593,10058.72914082905
425.71803994947254,15,1719.9144388357345,9.0,0.42857142857142855,1.6153846153846154,0.6363636363636364,0.2793325931624906,1485.2980032013436,345.71510652156894,2,17,10638.09493149874,10657.056671808
